Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 25, 60, 558, 556, 913, 2, 
5, 38, 82, 238, 237, 622, 2, 
5, 62, 21, 40, 40, 83, 1, 
5, 80, 43, 203, 0, 0, 0, 
10, 6, 30, 600, 600, 4262, 3, 
10, 45, 61, 75, 75, 83, 2, 
10, 63, 50, 39, 34, 35, 2, 
15, 42, 54, 245, 243, 54, 1, 
15, 45, 54, 24, 1, 2, 2, 
15, 64, 19, 201, 201, 887, 3, 
20, 51, 49, 594, 594, 817, 3, 
20, 59, 25, 355, 0, 0, 0, 
20, 59, 52, 191, 0, 0, 0, 
20, 65, 17, 37, 2, 1, 1, 
25, 3, 64, 35, 18, 1, 1, 
25, 11, 14, 19, 19, 164, 3, 
25, 14, 73, 200, 200, 1394, 4, 
25, 23, 92, 343, 343, 1323, 3, 
25, 33, 18, 28, 28, 341, 3, 
25, 33, 52, 113, 113, 189, 3, 
25, 37, 22, 322, 322, 2366, 3, 
25, 37, 25, 65, 0, 0, 0, 
25, 54, 11, 146, 146, 412, 2, 
30, 52, 39, 400, 391, 554, 3, 
30, 57, 83, 7, 3, 5, 2, 
35, 88, 64, 61, 61, 106, 3, 
40, 19, 97, 143, 86, 12, 2, 
40, 35, 72, 221, 219, 207, 3, 
40, 48, 10, 55, 55, 144, 2, 
45, 12, 90, 26, 26, 22, 3, 
45, 20, 94, 393, 148, 1355, 5, 
45, 22, 55, 6, 6, 44, 5, 
45, 24, 18, 13, 13, 114, 3, 
45, 37, 85, 107, 0, 0, 0, 
45, 41, 79, 74, 74, 898, 4, 
45, 53, 30, 104, 73, 41, 2, 
45, 92, 58, 203, 203, 324, 3, 
50, 27, 82, 50, 0, 0, 0, 
50, 28, 47, 16, 0, 0, 0, 
50, 46, 46, 174, 23, 3, 1, 
50, 47, 22, 148, 148, 2796, 5, 
50, 53, 45, 355, 309, 11, 2, 
55, 3, 60, 106, 104, 7, 1, 
55, 20, 22, 92, 92, 632, 3, 
60, 2, 60, 118, 0, 0, 0, 
60, 5, 87, 6, 6, 3, 2, 
60, 36, 33, 16, 0, 0, 0, 
60, 68, 17, 265, 261, 46, 2, 
60, 76, 27, 255, 244, 26, 1, 
60, 86, 54, 217, 217, 94, 2, 
60, 91, 72, 104, 103, 89, 2, 
60, 99, 9, 90, 90, 1626, 4, 
65, 11, 39, 126, 114, 15, 2, 
65, 26, 78, 185, 180, 126, 2, 
65, 58, 90, 388, 388, 3260, 3, 
65, 75, 24, 54, 54, 66, 2.89, 
65, 75, 47, 81, 80, 44, 1.61, 
65, 91, 66, 6, 0, 0, 0, 
65, 96, 97, 395, 394, 559, 2, 
70, 5, 29, 26, 0, 0, 0, 
70, 37, 91, 55, 55, 754, 4, 
70, 52, 7, 6, 6, 5, 2, 
70, 57, 51, 9, 0, 0, 0, 
70, 87, 20, 185, 185, 122, 2, 
75, 33, 25, 32, 32, 16, 2, 
75, 37, 76, 600, 598, 512, 2, 
75, 48, 60, 382, 380, 357, 3, 
75, 52, 23, 6, 6, 17, 5, 
75, 55, 60, 106, 106, 167, 3, 
75, 73, 25, 70, 68, 161, 3, 
75, 93, 46, 51, 46, 10, 1, 
75, 95, 69, 61, 61, 6, 1, 
80, 67, 16, 146, 146, 3045, 5, 
80, 82, 59, 38, 0, 0, 0, 
85, 27, 41, 243, 243, 792, 3, 
85, 58, 55, 163, 121, 8, 2, 
85, 68, 25, 600, 595, 1396, 3, 
85, 77, 30, 112, 112, 37, 1.92, 
90, 15, 6, 81, 81, 250, 2, 
90, 49, 47, 91, 53, 30, 3, 
90, 64, 98, 322, 322, 3033, 4, 
90, 68, 34, 121, 118, 13, 1.69, 
90, 72, 77, 32, 1, 1, 1, 
90, 82, 58, 30, 30, 104, 4, 
90, 95, 33, 185, 185, 960, 3, 
95, 2, 7, 14, 14, 340, 4, 
95, 12, 55, 272, 272, 696, 2.95, 
95, 13, 68, 85, 84, 96, 3, 
95, 15, 9, 165, 165, 796, 3, 
95, 23, 86, 600, 600, 6291, 5, 
95, 45, 32, 432, 432, 1347, 3, 
95, 77, 62, 114, 102, 36, 1.98, 
95, 97, 87, 164, 162, 415, 3, 
100, 5, 5, 56, 56, 1540, 5, 
100, 11, 57, 207, 154, 66, 3, 
100, 39, 73, 119, 56, 58, 3, 
100, 44, 11, 321, 321, 1480, 3, 
100, 65, 68, 59, 59, 183, 4.9, 
100, 73, 83, 86, 86, 228, 3, 
100, 86, 52, 362, 362, 526, 3, 
100, 90, 68, 31, 31, 21, 2, 
